,text,label
0,"""às vezes eu me imagino em outro país"" bom álvaro dias pode ir pra lá então",0
1,"mudei meu voto, é cabo daciolo neles, glória!",1
2,"@jessicarapha12 pois é, achei desanimador também, gostei muito mais da resposta do boulos",1
3,cabo daciolo sabe da existência de exercícios militares super normais que ocorrem no mundo todo e choca o twitter https://t.co/su6c1wwltg,0
4,cabo daciolo é a chapecoense dos debates,0
5,adoreeeei a bronca no bolsonaro,1
6,quem ousaria chamar o meirelles pra casa? https://t.co/fdfttluhnv,0
7,alckmin cita pela primeira vez o ex-presidente fernando henrique cardoso. e o elogia. está precisando anular a oposição de fhc ao seu nome.,1
8,cortar direito do trabalhador pra acertar as contas públicas não se faz. tem que cortar é do andar de cima. #haddadé13 #debatenaglobo,0
9,#debatesbt quando tá na vez do ciro falar #ciro12 @cirogomes https://t.co/qbqoeib55s,1
10,"o cara pergunta uma merda sem sentido, o bolsonaro responde algo totalmente sem mais sentido opasdopkaspdokaspodkaspodkpasod",0
11,haddad barrado kkk...,0
12,achei desleixado podia muito bem fazer um skype com o lula #debateband,0
13,eu amo quando o psol apresenta essas propostas que nunca vão passar no congresso.,0
14,"""mas o bolsonaro não é machista e misógino? então por que tantas mulheres estão apoiando ele?"" https://t.co/8jaj914xc9",0
15,quando eu descobri que toda minha família vai votar no bolsonaro,1
16,boulos ótimo tb no discurso. #debatenarecord,1
17,@jose_simao poste ( haddad )responde a 8 acoes apos gestao na prefeitura de são paulo https://t.co/6iudk3vrdz,0
18,meirelles é a cara da velha política!,0
19,essa discriminação no twitter sumindo com a hastag do #bolsonaro é um acinte a democracia e a liberdade de expressão de um povo #capitãonaband,0
20,álvaro dias mestre em não respeitar o tempo pra pergunta só pra falar baboseira  #debatenaglobo,0
21,gente alguem dá suporte psicológico pro daciolo,0
22,@fatosesquerda ciro desonesto é pleonasmo...,0
23,"boulos, invadir propriedade e cobrar aluguéis de casas que não são suas é trabalho? #debatenaglobo",0
24,o cara levou uma pergunta escrita pra o lula que paquera mais antiga porra,0
25,"é fácil só demais falar, álvaro dias. tem q falar e apresentar prova. desonesto demais. #debatenarecord",0
26,"mano a plateia da globo aplaudiu o boulos, chegamos nesse nível",1
27,o daciolo dizendo que vai ser presidente com 51% dos votos sou eu dizendo toda segunda que vou começar a dieta,0
28,@blogdopim marina sensata respondendo que o estado é laico,1
29,"como eu adoro do cabo daciolo, que campanha inesquecível !",1
30,agoniada com o fiozinho solto na blusa da marina #debateglobo,0
31,17 bolsonaro primeiro turno,1
32,bolsonaro pisado com bondade.,0
33,eu queria muito chegar ao nível ciro gomes de deboche,1
34,@redetv @twitterbrasil marina não presta,0
35,daciolo tá ali só pra jogar merda no ventilador,0
36,nunca pensei que marina silva pudesse ser uma boa opção,1
37,"""vc foi mais rápido que o ponto"" - bonner ""é assim que eu quero governar o brasil"" - ciro  ciro vc é muito meu presidete entenda #debatenaglobo",1
38,"@raffatalquei @maucarrara1 ele é valente só pela internet, lembro que já tentaram pegar ele qdo ele fez aquela merda toda no allianz na visita do bolsonaro e além do mais xinga e não respeita os demais torcedores kkkkkkkk",0
39,vendo debate e tirando foto do ciro com filtro do snow,1
40,"@cadu_vargas bah...que bom te ler tenho essa mesma visão. converso com muitas pessoas também, e a maioria está com bolsonaro e fecham no 1° turno. sim deu para perceber que o movimento helenão (rs) era de esquerda, feministas etc...",0
41,minha mãe falou que vai votar do cabo daciolo 🤢,1
42,gente o daciolo kkkkkkkkkkk,1
43,cabo daciolo minha meta adulta de homem bonito,1
44,dá sim haha 🍗🍖🍗 chucarrasco de comemoração da vitória do ciro ❤️ #tsunamiciro12  #tsunamiciro #cironaglobo #cirosim https://t.co/vdwqsq7vsi,1
45,achei lindíssima a frase do boulos.,1
46,"alguém tem que pegar marina e pt, colocar numa salinha e só deixarem sair de lá quando resolverem essa pataquada. pelo amor de deus, que a gente não aguenta mais esse rancor. parece aquele casal que termina e fica postando indireta um pro outro até voltar. #ovotonarecord",0
47,caraca daciolo tu detonou mano   boaaaaa mano,1
48,"daciolo x bolnosauro, os dois únicos casos de vida após a anencefalia .",0
49,voto de protesto no daciolo é novo voto de protesto no tiririca.,1
50,"@nattnascimento_ @eduardojorge sim, o cara é bom até, já a marina? ...",0
51,marina eh mt fofa surto,1
52,bolsonaro é o único que irá cortar o próprio poder.  censura! temos que resistir!  #euvotobolsonaro #direitaseguedireita #meseguequeeutesigo #estoucombolsonaro #votobolsonaro17 #bolsonaropresidenre17 #bolsonaronaredetv #jairmessiasbolsonaro,1
53,@aquelaraquelr @pauloap ser canalha faz parte da genética de quase todo esquerdista e de todo político esquerdista... a marina vermelha por dentro e verde por fora não fugiria a regra... a franja do pt está exercendo bem seu papel.,0
54,"na primeira semana, vamos adorar ao senhor  boulos vai criar o programa levanta, brasil   hahahahahahahhahaahhaahahahahahahaha viveremos num grande culto #debateredetv",1
55,@blogdojefferson e quem viu o detalhe dela fazendo sinal para o haddad? quando o bonner estava falando algo mas a câmera estava nos 2... está teatral.,0
56,como pode o alvaro dias é mto tosco,0
57,mais um dia que a marina vai chegar bebada na aula hsudusjdijddk eh fora da casa,0
58,"gostem ou não do ciro gomes, mas o terno azul e a gravata vermelha o tornam o presidenciável mais bem vestido.",1
59,da o brasil pro boulos mano,1
60,"#debaterecord passei pelo canal 2 vezes, cada vez durou 10 segundos e nas duas vezes falaram em bolsonaro. é muito amor enrustido.",1
61,que  inteligente candidato boulos  suas ideias e seus ideais são verdadeiros  ótimas propostas de governo  #boulosnagazeta,1
62,#haddadé13  e o bolorô é #arregao,0
63,marina criticando aécio. ela ainda tem coragem.,0
64,*fazendo avoz da marina silva*  democraticamente,0
65,vai começar o candidato lacraste guilherme boulos,1
66,"lula foi convidado,  porém bandido tem q ficar atrás das grades. #debateband",0
67,"álvaro dias falou tanto em ""abrir o olho"" que o dele já tá arregaçado. ou seria o botox? #debatenarecord https://t.co/tgahcl8obs",0
68,a marina tem cara q não vê graça em nada,0
69,"”eu tenho uma filha e uma neta que eu amo muito e com certeza não foi resultado de nenhuma fraquejada”  indo dormir bem e deixando essa frase do ciro pra você ir dormir tão bem quanto eu, boa noite pra quem viu e ouviu o seu candidato, competente, que foi no debate, rs",1
70,@rosaneoliveira debate sem cabo daciolo é golpe,0
71,não sei se vocês pararam pra perceber mas todo mundo tá tratando o bolsonaro como o valdemorte. ahahahahahahahah “o coiso” “o inominável” “aquele a quem não podemos citar” to me sentindo em harry potter. espero que o final seja igual tbm,0
72,o álvaro dias tem que criar um twitter. debate é pra outra coisa,0
73,parabéns são paulo. todos contra o sistema  #bolsonaronoprimeiroturno https://t.co/iz5ktaawxm,1
74,alvaro dias parece a nair bello falando,0
75,só para lembrar! jair bolsonaro para presidente do brasil https://t.co/jhfzs5r8ph,1
76,to me balanceando pela marina,1
77,querido irmãos paulistas e paulistanos. vendo o #alckmin falar sobre tudo que ele fez lhes pergunto. é verdadeiro ou falso suas falas. cara ouvindo ele percebe-se que são paulo é capital de excelência mundial em tudo. sendo que hj em sp ele está perdendo nas pesquisas.,0
78,alckmin comunista petista taxista malabarista,0
79,marina tá mt a cara do deboche nesse debate,0
80,@helenamarinho18 @joaoamoedonovo se d. arizonas se candidatar pelo pt eu voto no marcola do pcc,1
81,aqui no maranhão somos bolsonaro também. pode apostar que estamos juntos nessa missão. #brasilcombolsonaro,1
82,esse guilherme boulos tem cara de comediante 🤨🤔,1
83,"olha, assistir esse debate com o cabo daciolo é stand up",1
84,esse boulos fala parecendo q decorou o texto na apresentação da escola,0
